,Emp ID,First Name,Last Name,State Abv,Correct DOB,Hidden SSN
0,1128,Jessica,Sheppard,RI,05/24/1970,***-**-4987
1,1988,Sarah,Rodriguez,WY,07/18/1986,***-**-8700
2,573,Steven,Parker,NE,09/20/1981,***-**-5891
3,107,Patricia,Bennett,LA,06/08/1984,***-**-0424
4,2040,Lisa,Mathis,WI,01/27/1957,***-**-3247
5,1103,Dale,Garza,MI,09/01/1982,***-**-4719
6,748,Jeffrey,Guerra,VT,10/22/1983,***-**-9519
7,1516,Anthony,Martinez,OR,01/16/1958,***-**-0874
8,1143,Jorge,Howard,KY,04/18/1982,***-**-0640
9,1374,Jennifer,Austin,WA,04/10/1984,***-**-4858
10,1517,Calvin,Sosa,PA,02/28/1969,***-**-8986
11,1649,Isaac,Franco,ND,08/29/1989,***-**-3428
12,566,Norman,Harris,MN,02/10/1981,***-**-7233
13,965,Becky,Carroll,TX,08/16/1992,***-**-3619
14,277,Kellie,Montgomery,ME,03/11/1970,***-**-8490
15,696,Amber,Mullen,NM,05/23/1987,***-**-5573
16,1356,Andrew,Bennett,OK,10/02/1988,***-**-5167
17,1443,Jacob,Taylor,CA,10/16/1988,***-**-1835
18,1423,Gregory,Day,NV,06/07/1982,***-**-9482
19,160,Danielle,Smith,AZ,01/31/1972,***-**-3726
20,1540,Nathan,Sims,AK,06/29/1982,***-**-4681
21,1305,Lisa,Lawrence,TN,12/19/1957,***-**-9699
22,299,Kristen,Morales,SD,05/17/1963,***-**-4085
23,1285,Lee,Terry,ME,02/26/1965,***-**-3702
24,172,Vincent,Williams,OR,03/03/1974,***-**-3233
25,1837,James,Mcfarland,TX,05/29/1992,***-**-7711
26,231,Arthur,Lawrence,SC,06/11/1974,***-**-4845
27,743,Randy,Christian,MT,11/01/1962,***-**-4642
28,290,Ashley,Hurley,SD,08/20/1970,***-**-6712
29,1691,Sarah,Stewart,IN,02/02/1969,***-**-1055
30,1744,Justin,Williams,WA,06/09/1976,***-**-4152
31,615,Frederick,Sanchez,OR,07/21/1978,***-**-8901
32,1427,Sarah,Baldwin,SC,01/10/1964,***-**-3313
33,252,John,Larson,CT,03/13/1989,***-**-9091
34,1418,Christina,Nielsen,SD,04/18/1957,***-**-4490
35,732,Jesse,Jones,VT,02/14/1959,***-**-5626
36,1198,Dorothy,Beltran,LA,11/16/1986,***-**-2110
37,2116,Tammy,Brock,MN,04/24/1992,***-**-3729
38,946,Melissa,Mitchell,KS,03/25/1975,***-**-6449
